// 0:í èÌBase~99,1:ì]ê∂Base~99,2:í èÌBase~200,3:ì]ê∂Base~200,4:í èÌBase200~,5:ì]ê∂Base200~,6:Job-NV,7:Job-1éüêE,8:Job-2éüêE,9:Job-SNV,10:Job-ì]ê∂NV,11:Job-ì]ê∂1éüêE,12:Jobì]ê∂2éüêE,13:Job-SG,14:Job-GS/NJ,15:Job-3éüêE,16-Job-SU,17:Job-4éüêE
0,0,0,0,3929763686537,3929763686537,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4008358960267,4008358960267,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4088526139473,4088526139473,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4170296662262,4170296662262,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4253702595508,4253702595508,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4338776647418,4338776647418,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4425552180366,4425552180366,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4514063223973,4514063223973,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4604344488453,4604344488453,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4696431378222,4696431378222,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4790360005786,4790360005786,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4886167205902,4886167205902,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4983890550020,4983890550020,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5083568361020,5083568361020,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5185239728241,5185239728241,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5288944522806,5288944522806,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5394723413262,5394723413262,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5502617881527,5502617881527,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5612670239158,5612670239158,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5724923643941,5724923643941,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5839422116820,5839422116820,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5956210559156,5956210559156,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6075334770339,6075334770339,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6196841465746,6196841465746,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6320778295061,6320778295061,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6447193860962,6447193860962,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6576137738181,6576137738181,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6707660492945,6707660492945,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6841813702804,6841813702804,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6978649976860,6978649976860,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7118222976397,7118222976397,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7260587435925,7260587435925,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7405799184643,7405799184643,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7553915168336,7553915168336,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7704993471703,7704993471703,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7859093341137,7859093341137,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8016275207960,8016275207960,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8176600712119,8176600712119,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8340132726361,8340132726361,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8506935380889,8506935380889,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8677074088506,8677074088506,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8850615570277,8850615570277,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9027627881682,9027627881682,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9208180439316,9208180439316,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9392344048102,9392344048102,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9580190929064,9580190929064,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9771794747645,9771794747645,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9967230642598,9967230642598,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10166575255450,10166575255450,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10369906760559,10369906760559,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10577304895771,10577304895771,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10788850993686,10788850993686,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11004628013560,11004628013560,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11224720573831,11224720573831,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11449214985307,11449214985307,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11678199285014,11678199285014,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11911763270714,11911763270714,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12149998536128,12149998536128,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12392998506851,12392998506851,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12640858476988,12640858476988,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12893675646527,12893675646527,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13151549159458,13151549159458,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13414580142647,13414580142647,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13682871745500,13682871745500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13956529180410,13956529180410,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14235659764018,14235659764018,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14520372959299,14520372959299,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14810780418485,14810780418485,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15106996026854,15106996026854,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15409135947391,15409135947391,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15717318666339,15717318666339,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16031665039666,16031665039666,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16352298340459,16352298340459,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16679344307269,16679344307269,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17012931193414,17012931193414,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17353189817282,17353189817282,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17700253613628,17700253613628,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18054258685900,18054258685900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18415343859618,18415343859618,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18783650736811,18783650736811,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19159323751547,19159323751547,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19542510226578,19542510226578,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19933360431110,19933360431110,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20332027639732,20332027639732,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20738668192526,20738668192526,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21153441556377,21153441556377,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21576510387504,21576510387504,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22008040595254,22008040595254,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22448201407160,22448201407160,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22897165435303,22897165435303,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23355108744009,23355108744009,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23822210918889,23822210918889,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,24298655137267,24298655137267,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,24784628240012,24784628240012,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25280320804812,25280320804812,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25785927220909,25785927220909,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26301645765327,26301645765327,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26827678680633,26827678680633,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,27364232254246,27364232254246,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,27911516899331,27911516899331,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,28469747237318,28469747237318,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29039142182064,29039142182064,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29619925025705,29619925025705,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30212323526219,30212323526219,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30816569996744,30816569996744,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31432901396679,31432901396679,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,32061559424612,32061559424612,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,32702790613104,32702790613104,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33356846425366,33356846425366,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,34023983353874,34023983353874,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,34704463020951,34704463020951,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,35398552281370,35398552281370,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36106523326998,36106523326998,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36828653793538,36828653793538,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,37565226869408,37565226869408,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,38316531406797,38316531406797,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39082862034932,39082862034932,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39864519275631,39864519275631,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40661809661144,40661809661144,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,41475045854367,41475045854367,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,42304546771454,42304546771454,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,43150637706883,43150637706883,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,44013650461021,44013650461021,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,44893923470241,44893923470241,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45791801939646,45791801939646,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,46707637978439,46707637978439,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,47641790738008,47641790738008,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48594626552768,48594626552768,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,49566519083823,49566519083823,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50557849465500,50557849465500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51569006454810,51569006454810,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52600386583906,52600386583906,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,53652394315584,53652394315584,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54725442201896,54725442201896,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55819951045933,55819951045933,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56936350066852,56936350066852,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58075077068189,58075077068189,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59236578609553,59236578609553,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60421310181744,60421310181744,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61629736385379,61629736385379,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,62862331113086,62862331113086,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64119577735348,64119577735348,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,65401969290055,65401969290055,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66710008675856,66710008675856,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68044208849373,68044208849373,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,69405093026361,69405093026361,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,70793194886888,70793194886888,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,72209058784626,72209058784626,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,73653239960318,73653239960318,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,75126304759525,75126304759525,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,76628830854715,76628830854715,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,78161407471809,78161407471809,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,79724635621246,79724635621246,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,81319128333671,81319128333671,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,82945510900344,82945510900344,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,84604421118351,84604421118351,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,86296509540718,86296509540718,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,88022439731532,88022439731532,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,89782888526163,89782888526163,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,91578546296686,91578546296686,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,93410117222620,93410117222620,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,95278319567072,95278319567072,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,97183885958414,97183885958414,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,99127563677582,99127563677582,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,101110114951134,101110114951134,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,103132317250156,103132317250156,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,105194963595159,105194963595159,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,107298862867063,107298862867063,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,109444840124404,109444840124404,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,111633736926892,111633736926892,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,113866411665430,113866411665430,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,116143739898738,116143739898738,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,118466614696713,118466614696713,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,120835946990647,120835946990647,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,123252665930460,123252665930460,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,125717719249069,125717719249069,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,128232073634051,128232073634051,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,130796715106732,130796715106732,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,133412649408867,133412649408867,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,136080902397044,136080902397044,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,138802520444985,138802520444985,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,141578570853884,141578570853884,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,144410142270962,144410142270962,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,147298345116381,147298345116381,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,150244312018709,150244312018709,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,153249198259083,153249198259083,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,156314182224265,156314182224265,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,159440465868750,159440465868750,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,162629275186125,162629275186125,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,165881860689848,165881860689848,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,169199497903645,169199497903645,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,172583487861718,172583487861718,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,176035157618952,176035157618952,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,179555860771331,179555860771331,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,183146977986758,183146977986758,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,186809917546493,186809917546493,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,190546115897423,190546115897423,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,194357038215371,194357038215371,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,198244178979678,198244178979678,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,202209062559272,202209062559272,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,206253243810457,206253243810457,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,210378308686667,210378308686667,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,214585874860400,214585874860400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,218877592357608,218877592357608,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,223255144204760,223255144204760,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,227720247088855,227720247088855,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,232274652030632,232274652030632,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,236920145071245,236920145071245,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,241658547972670,241658547972670,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,246491718932123,246491718932123,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,251421553310766,251421553310766,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,256449984376981,256449984376981,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,261578984064521,261578984064521,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,266810563745811,266810563745811,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,272146775020727,272146775020727,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,277589710521142,277589710521142,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,283141504731565,283141504731565,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,288804334826196,288804334826196,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,294580421522720,294580421522720,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,300472029953175,300472029953175,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,306481470552238,306481470552238,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,312611099963283,312611099963283,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,318863321962548,318863321962548,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,325240588401799,325240588401799,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,331745400169835,331745400169835,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,338380308173232,338380308173232,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,345147914336697,345147914336697,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,352050872623431,352050872623431,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,359091890075899,359091890075899,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,366273727877417,366273727877417,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,373599202434966,373599202434966,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,381071186483665,381071186483665,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,388692610213338,388692610213338,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,396466462417605,396466462417605,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,404395791665957,404395791665957,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,412483707499276,412483707499276,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,420733381649262,420733381649262,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,429148049282247,429148049282247,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,437731010267892,437731010267892,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,446485630473250,446485630473250,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,455415343082715,455415343082715,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,464523649944369,464523649944369,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,473814122943257,473814122943257,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,483290405402122,483290405402122,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,492956213510164,492956213510164,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,502815337780368,502815337780368,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,512871644535975,512871644535975,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,523129077426694,523129077426694,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,533591658975228,533591658975228,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,544263492154733,544263492154733,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,555148761997828,555148761997828,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,566251737237784,566251737237784,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,577576771982540,577576771982540,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,589128307422191,589128307422191,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,600910873570634,600910873570634,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,612929091042047,612929091042047,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,625187672862888,625187672862888,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,637691426320146,637691426320146,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,650445254846549,650445254846549,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,663454159943480,663454159943480,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,676723243142349,676723243142349,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,690257708005196,690257708005196,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,704062862165300,704062862165300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,718144119408606,718144119408606,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,732507001796779,732507001796779,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,747157141832714,747157141832714,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,762100284669368,762100284669368,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,777342290362756,777342290362756,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,792889136170011,792889136170011,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,808746918893411,808746918893411,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,824921857271279,824921857271279,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,841420294416705,841420294416705,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,858248700305039,858248700305039,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,875413674311140,875413674311140,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,892921947797363,892921947797363,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,910780386753310,910780386753310,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,928995994488376,928995994488376,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,947575914378144,947575914378144,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,966527432665707,966527432665707,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,985857981319021,985857981319021,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1005575140945400,1005575140945400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1025686643764310,1025686643764310,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1046200376639600,1046200376639600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1067124384172390,1067124384172390,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1088466871855840,1088466871855840,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1110236209292950,1110236209292950,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1132440933478810,1132440933478810,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1155089752148390,1155089752148390,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1178191547191350,1178191547191350,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1201755378135180,1201755378135180,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1225790485697890,1225790485697890,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1250306295411840,1250306295411840,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1275312421320080,1275312421320080,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1300818669746480,1300818669746480,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1326835043141410,1326835043141410,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1353371744004240,1353371744004240,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1380439178884320,1380439178884320,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1408047962462010,1408047962462010,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1436208921711250,1436208921711250,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1464933100145480,1464933100145480,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1494231762148390,1494231762148390,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1524116397391350,1524116397391350,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1554598725339180,1554598725339180,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1585690699845960,1585690699845960,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1617404513842880,1617404513842880,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1649752604119740,1649752604119740,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1682747656202140,1682747656202140,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1716402609326180,1716402609326180,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1750730661512700,1750730661512700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1785745274742960,1785745274742960,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1821460180237820,1821460180237820,0,0,0,0,0,0,0,0,0,0,0,0
